cluster,location,status,property_type,price,capital_gain_pct,price_per_sqft,area_sqft,bedrooms,date,sold_by,possible_partial_or_nonstandard_sale,source_file,source_page,record_uid
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,3000000.0,-8.0,1099.0,2945.0,4,2026-08-19,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,6af51b299c41b5ecb352e939a8896848141430cb
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2770000.0,20.0,1165.0,1934.0,3,2026-08-18,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,8fac0a492a517bbfbfd17c7e777543aaa0307487
Velora 2,"Velora 2, The Valley, Al Yufrah 1",Ready,Villa,2948888.0,,1200.0,1939.0,3,2026-08-18,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,299751f3bdbcf829c22a9766a9408df9e1ac9b25
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2450000.0,59.0,1294.0,1873.0,3,2026-08-18,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,0711bf52a473e555b51d92d62a71e4ef6cd9e62a
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,3000000.0,-6.0,1098.0,2934.0,4,2026-08-18,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,401887dfe8acfc56fea41327009f9eb977fc27e1
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2550000.0,4.0,1086.0,2135.0,3,2026-08-17,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,034ddc0d0a781d344c8908e6e34c18e447f2a0be
Farm Gardens,"Farm Gardens, The Valley, Al Yufrah1",Ready,Villa,7200000.0,32.0,1455.0,9171.0,4,2026-08-17,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,734209cf69d842d33d97bc2a88e58f366b2b71cf
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3700000.0,11.0,1119.0,3549.0,4,2026-08-13,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,f3173d7b55cb257b60d02d22bd296b3ba92d001a
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3500000.0,12.0,1336.0,3196.0,4,2026-08-13,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,fcb1819abc993d1b26abf3af182bb793c21c2d82
Lillia,"Lillia, The Valley, Al Yufrah 1",Ready,Villa,2450000.0,12.0,1148.0,1483.0,3,2026-08-11,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,4493a86e097bd2013f456751ad4a491d610f3112
Lillia,"Lillia, The Valley, Al Yufrah 1",Ready,Villa,2500000.0,14.0,1147.0,1483.0,3,2026-08-11,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,07566808864329457d0e00c853b1343bf5df305b
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2570000.0,56.0,1227.0,1482.0,3,2026-08-11,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,af198ddfb2d80f0a7aeb249df0062a2d37bb9941
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2171888.0,,970.0,1873.0,3,2026-08-10,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,135aaa9e4f8a32592e9c6e7a4bcc955bc64318fa
Avena 2,"Avena 2, The Valley, Al Yufrah 1",Offplan,Villa,4391888.0,,1184.0,3304.0,4,2026-08-07,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,ce575b9d3695e329bae5e78f834371553f59af7c
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2550000.0,-3.0,1347.0,1873.0,3,2026-08-07,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,34e78e169c8ac7e81e1a5408c2f1dd959b2ad65c
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2585000.0,68.0,1361.0,1873.0,3,2026-08-07,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",4,11a95702709a9b725d8a1c40f1dc0b48f96e65c7
Farm Grove 2,"Farm Grove 2, The Valley, Al Yufrah 1",Offplan,Villa,6850000.0,-18.0,1127.0,7146.0,5,2026-08-06,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,ea9df622a65cc2314c5a37df6a3ca1b64f7f1989
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3350000.0,12.0,1278.0,2613.0,4,2026-08-06,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,545aba897e93e2456c0691e6f99ac370b06f8325
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,3285888.0,,1203.0,3228.0,4,2026-08-05,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,774c085373c07d060a238dc6a4dd601fd7925c38
Lillia,"Lillia, The Valley, Al Yufrah 1",Ready,Villa,2330000.0,6.0,1066.0,1483.0,3,2026-08-05,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,4f700087319a508f20912e826782fd834c245399
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,3350000.0,5.0,1493.0,2750.0,4,2026-08-05,Individual (3 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,a309e0fd517c227386b8188ffb2b95bdf6b51050
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,3300000.0,78.0,1476.0,2772.0,4,2026-08-05,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,79c2c2acb9562fb5d526fd91f673560fd4d168f4
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2450000.0,40.0,1163.0,1481.0,3,2026-08-04,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,73308cbf6dce8b07b6f5738b67203b83f45dd3fa
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,2750000.0,38.0,1462.0,1873.0,3,2026-08-04,Individual (3 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,fabced5f33a858624ee174bffec758febd6dc32d
Alana,"Alana, The Valley, Al Yufrah 1",Ready,Villa,4000000.0,-6.0,955.0,3969.0,4,2026-08-03,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,0f7b6c618d375d6089545a8d5f245f97a8646001
Elva,"Elva, The Valley, Al Yufrah 1",Ready,Villa,3027888.0,,1252.0,1938.0,3,2026-07-31,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,f88f813c99f54bff45fd0560f5030127b38f4461
Eden,"Eden, The Valley, Al Yufrah 1",Ready,Villa,2750000.0,74.0,1402.0,1873.0,3,2026-07-31,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,dcd1303f2363002058ae3384ae95d1d1bde5f5bc
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2400000.0,13.0,1009.0,1932.0,3,2026-07-27,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,7b0d0d0a6e765e50744436984b6d13ced7ce5156
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2944888.0,,1098.0,3570.0,4,2026-07-27,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",5,3dad39e190397ceff1f75b16c554de5c83570ca0
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2700000.0,62.0,1284.0,1483.0,3,2026-07-27,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,575539d981f9f372441210d9faddc50ea3fb7ad2
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,2600000.0,16.0,1390.0,1873.0,3,2026-07-27,Individual (3 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,290991826120b85848f47f9333bc4335d8cc8ffb
Lillia,"Lillia, The Valley, Al Yufrah 1",Ready,Villa,2340000.0,13.0,1070.0,1483.0,3,2026-07-27,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,565929401a9ba06d5357d946b7e427e2afb9edd0
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3250000.0,19.0,1249.0,2713.0,4,2026-07-27,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,6baf79598a459e471e5df5d83204f08ef81237f8
Avena,"Avena, The Valley, Al Yufrah 1",Offplan,Villa,4433888.0,,1203.0,3301.0,4,2026-07-24,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,8d88376669609256696e2a9857cef7a459a76e7c
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,2910000.0,10.0,1377.0,1873.0,3,2026-07-24,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,5043b8e20f9aecee6c02f6629575d0854c3e68a0
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,3030000.0,19.0,1438.0,1873.0,3,2026-07-24,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,b2fd8336b6fcd85285af5c28d78283484c6e67d9
Farm Gardens 2,"Farm Gardens 2, The Valley, Al Yufrah 1",Offplan,Villa,9500000.0,-3.0,1177.0,9781.0,5,2026-07-23,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,18c3df91533658c0bf4e8b811924028127bffb4f
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,3300000.0,63.0,1402.0,2809.0,4,2026-07-23,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,31dd7615c815cf337c647ddd8ae0f1ccede5a300
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2600000.0,60.0,1312.0,1873.0,3,2026-07-23,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,7e26533d02cab4b617f7e607629e225e5f47fa3c
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2314888.0,,974.0,1913.0,3,2026-07-22,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,1cd557f626465a1d7fd9518b5530247a5e0978ae
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2680000.0,75.0,1397.0,1873.0,3,2026-07-22,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,4c48c277c95adce8585db1ef10b01f56625d604d
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2780000.0,39.0,1417.0,1873.0,3,2026-07-22,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",6,3e86ff750facfc7f79afe869b4d1b6fb57ac9fbe
Farm Grove 2,"Farm Grove 2, The Valley, Al Yufrah 1",Offplan,Villa,4936888.0,,1315.0,3627.0,4,2026-07-21,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,536d59a7f5ebec267d6d3823c305c7a28873d2a7
Alana,"Alana, The Valley, Al Yufrah 1",Ready,Villa,5944524.0,4.0,1194.0,6297.0,5,2026-07-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,37ff05022dee428cbae21acc1e542e07c72a718a
Farm Grove 2,"Farm Grove 2, The Valley, Al Yufrah 1",Offplan,Villa,4837888.0,,1290.0,3524.0,4,2026-07-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,67d78c4df6661f3b0806576d770daa3eff08921d
Nara,"Nara, The Valley, Al Yufrah 1",Ready,Villa,3100000.0,76.0,1357.0,2761.0,4,2026-07-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,18320be8714cdcfd0db8cf6d798fb58c8e5ce15d
Lillia,"Lillia, The Valley, Al Yufrah 1",Offplan,Villa,2325000.0,10.0,1064.0,1483.0,3,2026-07-17,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,8e006fcd0da0d923995c4df19a9d123419251f6d
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,2835888.0,,1138.0,1938.0,3,2026-07-17,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,77cb28e391963dd57ee6bdbfad3843a8d82f9b4d
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3350000.0,52.0,1278.0,2488.0,4,2026-07-17,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,6a2e6705b0966dbfd8ea7eb88b6a950e772865dc
Elva,"Elva, The Valley, Al Yufrah 1",Ready,Villa,3027888.0,,1252.0,1938.0,3,2026-07-16,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,997a9a6fd3146c9e2d157eaa98eaf7126b760bd7
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,3334888.0,,1356.0,1938.0,3,2026-07-16,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,db63ef5d9dc073c7d869176dc1e6cd91cf85d35b
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2950000.0,38.0,1126.0,2614.0,4,2026-07-15,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,dbced0da946480b844ef3c0c6cad56ad793d0572
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,2800000.0,75.0,1329.0,1874.0,3,2026-07-15,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,d1f2b78df5b64e1b0ba5bc44772609a1fef3def1
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3050000.0,44.0,1165.0,2708.0,4,2026-07-15,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,217688f9fbe2389cf60c019c1b915501bbae0fb9
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3800000.0,12.0,1070.0,3302.0,4,2026-07-14,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,b8e6da552984739cc58954420a5e4c8c1824cd4f
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,523629.0,-0.0,272.0,1914.0,3,2026-07-14,Individual (1 Time),True,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,6f9622d34c55a7951bfcecf85add2a207b35a353
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3950000.0,17.0,1115.0,3397.0,4,2026-07-14,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",7,fdc679a8a4a1da24812a83751bceee7652aa4ccd
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2650000.0,8.0,1261.0,1483.0,3,2026-07-13,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,390b73a943727183058ecae4d8ba4415e717218c
Velora,"Velora, The Valley, Al Yufrah 1",Ready,Villa,2794850.0,,1122.0,1938.0,3,2026-07-13,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,3fe6587c82e36c6a31ff0af9c1e22e8825952ad0
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,4000000.0,18.0,1126.0,3366.0,4,2026-07-13,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,bff4ea0da32dd86567211d2e3d6dd497088a179b
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2600000.0,64.0,1351.0,1904.0,3,2026-07-10,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,26496ca0f0e7ea0be06b8a90424b8ec0150802f5
Lillia,"Lillia, The Valley, Al Yufrah 1",Offplan,Villa,3100000.0,-1.0,1041.0,3743.0,4,2026-07-09,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,addb90ca1c348ccf9734fa32119b772e4fd193d4
Lillia,"Lillia, The Valley, Al Yufrah 1",Offplan,Villa,2300000.0,12.0,1082.0,1483.0,3,2026-07-09,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,37709bec6ae039d4661f98cf7579f22c77576c89
Rivera,"Rivera, The Valley, Al Yufrah 1",Offplan,Villa,5379888.0,,1449.0,6173.0,4,2026-07-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,10a45bd703f0c6c44ae3be8a6adf2718a20738d8
Lillia,"Lillia, The Valley, Al Yufrah 1",Offplan,Villa,3350000.0,16.0,1205.0,3541.0,4,2026-07-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,55faac7d88be60c3e9dbd9789e32abaeb80e684c
Lillia,"Lillia, The Valley, Al Yufrah 1",Offplan,Villa,2350000.0,7.0,1101.0,1483.0,3,2026-07-08,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,b7475f62e486306c3502d86da3645c8094a906b1
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2750000.0,19.0,1231.0,1940.0,3,2026-07-07,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,6388956f576ce5eeddd2e0cd6c230872441d09e1
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2511888.0,,1070.0,1873.0,3,2026-07-06,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,e976b04172d0567687c8264afb4813f04abeafff
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3470000.0,8.0,1324.0,2485.0,4,2026-07-06,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,175091a0ccfbe63ace8d52b3697ac192a424f2b5
Rivera,"Rivera, The Valley, Al Yufrah 1",Offplan,Villa,5176888.0,,1404.0,3549.0,4,2026-07-06,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",8,4dd8f2d1455206b2d46c0b25c86a47ccb5a204fd
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3750000.0,10.0,1056.0,3229.0,4,2026-07-03,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,bf929b376bf987fef6b7f1fb7881e5922abf5806
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2425000.0,-9.0,1276.0,1902.0,3,2026-07-03,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,6ade906761998681154c7b671985db5688a7a3fb
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,2685000.0,53.0,1274.0,1873.0,3,2026-07-03,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,26f25401da233b0da98cc5b2b720cb1879a5fa6d
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2500000.0,50.0,1189.0,1484.0,3,2026-07-03,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,8d109d5ffd61e340c8d7a83489073fb98a1b7b67
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2865000.0,15.0,1462.0,1873.0,3,2026-07-03,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,c245ac6323fc0f0a18cb5778fe64e29c44570e3e
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2700000.0,69.0,1362.0,1873.0,3,2026-07-03,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,319e3edb47311da513fe0d982e78d8f453c74ca6
Talia,"Talia, The Valley, Al Yufrah 1",Ready,Villa,3400000.0,74.0,1557.0,2893.0,4,2026-07-02,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,ecbf09768bb2dabdc4a7ee0423c9aed1ee3d8874
Velora 2,"Velora 2, The Valley, Al Yufrah 1",Ready,Villa,3036888.0,,1236.0,1939.0,3,2026-07-02,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,7de0af34811be3f2013d41fdbf75ea835e5aded9
Farm Grove,"Farm Grove, The Valley, Al Yufrah 1",Offplan,Villa,4450000.0,-12.0,1187.0,5305.0,4,2026-07-02,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,c5123cabc6a85eb0377a92249d6d650e9c3abd5b
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,2650000.0,8.0,1394.0,1873.0,3,2026-07-02,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,93e7ae6c38f178d3e2868bf1a65e6ddbdf75f20a
Farm Grove 2,"Farm Grove 2, The Valley, Al Yufrah 1",Offplan,Villa,5006888.0,,1333.0,4315.0,4,2026-07-02,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",9,65a642d5a3e056d9020705b68b48b999897cbc84
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,3150000.0,58.0,1378.0,2809.0,4,2026-07-01,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,c878c571cfdd745d5e7a7569d38261686f620bfb
Nima,"Nima, The Valley, Al Yufrah 1",Offplan,Villa,2800000.0,19.0,1147.0,1963.0,3,2026-06-30,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,3b1ec0a708e5e5200cdd57f2b8a3d4f8b70e2dc8
Velora 2,"Velora 2, The Valley, Al Yufrah 1",Ready,Villa,3375888.0,,1251.0,2949.0,4,2026-06-29,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,a818aa1868ca39cca8d374ea156e5bbec2337696
Lillia,"Lillia, The Valley, Al Yufrah 1",Offplan,Villa,2250000.0,7.0,1029.0,1483.0,3,2026-06-29,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",10,07a125ac05904be12ea52536ed3dd4fb3941efde
